Product Title,Product URL,Date Scraped,Compressor brand,Water absorption,Hanging force,Panel Density:,Effective Width,core components,Board surface,Grade,Surface material,Insulation material,Fireproof Grade,application,Polyurethane,size,Product name,dimension(l*w*h),Condition,Marketing Type,Application,After Warranty Service,Thermal Conductivity,Raw material,After-sales Service,Dimensional Stability,Sample,Foam insulation value,temperature Range,Warranty period,brand,Door type,Open Style,After-sale Service,After-sales Service Provided,Wind resistance,Processing Service,Warranty of core components,eco-friendly,Product Name,Model Number,Certification,Package,Cold room temperature,Surface Finishing,Opening Method,Keywords,Standard,Doors,Insulation density,Zinc Coating,Single gross weight:,Port,Surface Material,Length,Flame Retardant Rating,brand name,Connection,Features,Sandwich type,Door Type,Color steel thickness,Brand Name,Core material thickness,Keyword,Refrigerant:,Supply Ability,Feature,Metal thickness,Advantage,Applicable Industries,Packaging Details,Panel length,Plate thickness,Metal Sheet Thickness,density,Key words,Colors,Dimension(L*W*H),Metal Surface,OEM/ODM,Packging Detail,Panel Thickness,Warranty,Inside material,Industries,key selling points,Core material,Leading time,Panel width,Temperature,Door Material,Percentage Of Close Area,Panel thickness,Thermal conductivity,Thermal conductivity coefficient,Application:,Size,Thickness of Color Steel,STEEL THICKNESS,Application of Industry,Applicable,Metal plate,Compressor,Functions:,Cooling system,Property,Coating,Cooling approach:,Type,voltage,Single package size:,Origin,temperature,Product Type,Compressive strength,Density,model number,Condensing unit,panel thickness,Cold Room Panel Type,Color,Place of Origin,Product density,Shape,Brand,power,Thickness of panel,Application scenarios,Installation:,Connection System,Selling Units:,Core Material,Tolerance,warranty,feature,Thickness Of Wood Plates,Packing,video outgoing-inspection,Standard Width,Outside material,custom,Local Service Location,Project Solution Capability,Combustion performance,Panel Material,Water Absorption Rate,Weight,Effective Length,Thickness Of Steel Plate,RAL Color,Operating temperature,Surface board material,Dimension,Certification:,Certificate,Design Style,Function,Enterprise Nature,place of origin,Refrigerating unit:,Width,Fireproof,function,Usage,Fire Rating,Dry shrinkage rate,diameter,Water Absorption,Steel Thickness,Material,PU Density,Established,Compressor type,Hardness,Raw Material,Surface,machinery test report,Max Length,Weight (KG),Thickness of Panel,Steel thickness,Thickness of Pu Panel,Panel material,Effective width,Functions,Core density:,Delivery Time,cooling capacity,Metal sheet thickness,Bending strength,door type,Elongation At Break,Thickness,Plate Width,Showroom Location,length,Outer Steel Plate,compressor brand
EPS/PU/PIR/PUR/Polyurethane/Rock Wool  Sandwich Panels Structural Insulated Sandwich Panel for Internal and External Wall,https://www.alibaba.com/product-detail/EPS-PU-PIR-PUR-Polyurethane-Rock_1600906010659.html?s=p,2025-02-19 15:11:26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sandwich Panel,N/A,N/A,N/A,"Villa, Hotel; warehouse; workshop",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Training, Onsite Inspection",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1-11.8m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,water resistant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,"pu,eps,rockwool,glasswool",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6-20kg/m3,N/A,N/A,N/A,N/A,RAL Color,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50-200mm,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/100-200mm-Cooling-Cold-Room-Wall_1600938853012.html,2025-02-19 15:11:41,copeland/Bock,N/A,N/A,N/A,N/A,"Pressure vessel, motor, PLC, Pump, Engine",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cold room freezer,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single Sliding Door,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cold room storage,N/A,N/A,N/A,N/A,100.000 kg,N/A,N/A,N/A,N/A,Gulun,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Competitive Price,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commercial Food Freezer Storage,N/A,N/A,N/A,N/A,Evaporative Condenser,N/A,N/A,N/A,N/A,380V,100X100X50 cm,N/A,N/A,N/A,N/A,N/A,N/A,Copeland/Bock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/120/150/200 Mm,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,freezer,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangxi, China",N/A,N/A,N/A,N/A,Frozen Food,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,Color steel polyurethane sandwich panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xps Pvc Sandwich Insulated Roof Panel Pu Sandwich Panel Sandwich Roof Puf Panels,https://www.alibaba.com/product-detail/Xps-Pvc-Sandwich-Insulated-Roof-Panel_1601287689286.html?s=p,2025-02-19 15:11:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EPS Sandwich Panel,N/A,N/A,N/A,factory,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Training, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WEIHUA,N/A,Polystyrene Foam EPS Sandwich Panel,N/A,N/A,N/A,N/A,"Lightweight,waterproof",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 years,N/A,N/A,N/A,Hard Polyurethane Foam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sandwich Panel Movable Wall,N/A,XX cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RAL Color,"Liaoning, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Others",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,plant,Sound-absorbing Decoration Wall,N/A,N/A,N/A,N/A,N/A,N/A,Construction Insulation,N/A,N/A,N/A,N/A,N/A,Metal+pu Foam+Aluminum Foil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50-200mm,N/A,N/A,N/A,N/A,N/A
Polyurethane Sandwich Board Polyurethane Foam Polyurethane PU Cold Room Storage Warehouse Insulation Sandwich Board,https://www.alibaba.com/product-detail/Polyurethane-Sandwich-Board-Polyurethane-Foam-Polyurethane_1601260767734.html,2025-02-19 15:12:05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Building Thermal Insulation,N/A,N/A,polyurethane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training",N/A,N/A,N/A,N/A,N/A,Polyurethane Board,ployurethane -01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,xcnm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Heat Preservation Sound Insulation,N/A,N/A,Insulation material for house/home,N/A,N/A,N/A,N/A,N/A,N/A,40-70kg/m3,N/A,N/A,N/A,N/A,White,Anhui China,N/A,Rectangle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Standard Packing,N/A,N/A,N/A,N/A,N/A,"total solution for projects, Cross Categories Consolidation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,Therminal Insulation,N/A,N/A,N/A,N/A,N/A,N/A,House Wall,N/A,N/A,N/A,N/A,N/A,polyurethane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Modern Design EPS Sandwich Panel Hot Selling Insulated Panels Precast Houses Workshops Cold Rooms Exterior Walls Foam Core,https://www.alibaba.com/product-detail/Modern-Design-EPS-Sandwich-Panel-Hot_1601371020457.html?s=p,2025-02-19 15:12:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Apartment, Villa, Hotel, Roof, Exterior Wall, prefab house, cold room, Office Building, Hospital, School, Mall, Sports Venues, Leisure Facilities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"water resistant, Fire Resistant",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Others,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,silica rock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Walk-In-Cooler-PU-Insulation-Wall_1601379982841.html,2025-02-19 15:12:26,N/A,N/A,N/A,N/A,N/A,Panel,N/A,N/A,Color Steel/Stainless Steel Plate or Customized,N/A,N/A,N/A,N/A,N/A,PU Insulation Wall Floor Sandwich Panels For Cold Storage Room Freezer,1220*2440mm,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,N/A,Support 24hours/Day,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ISO9001 CE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BINGKE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized size,N/A,N/A,N/A,Cold Room PU Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Competitive Price, High Quality",Polyurethane,N/A,960-1140mm,N/A,N/A,N/A,50mm/75mm/100mm/120mm/150mm/200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"400V , 110V, 220V, 380V, customized",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Copeland, Bitzer, BINGKE"
Insulated Sandwich Panel Room Manual Production of Sandwich Panels Fire Rated Sandwich Panel,https://www.alibaba.com/product-detail/Insulated-Sandwich-Panel-Room-Manual-Production_1601288739691.html?s=p,2025-02-19 15:12:38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EPS Sandwich Panel,N/A,N/A,N/A,factory,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Training, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WEIHUA,N/A,Polystyrene Foam EPS Sandwich Panel,N/A,N/A,"water resistant, Fire Resistant",N/A,"Lightweight,waterproof",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 years,N/A,N/A,N/A,Hard Polyurethane Foam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sandwich Panel Movable Wall,N/A,10X10X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RAL Color,"Liaoning, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Others",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,plant,Sound-absorbing Decoration Wall,N/A,N/A,N/A,N/A,N/A,N/A,Construction Insulation,N/A,N/A,N/A,N/A,N/A,Metal+pu Foam+Aluminum Foil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50-200mm,N/A,N/A,N/A,N/A,N/A
Factory Price 75mm Cold Room Cold Storage PU Sandwich Insulation Panels,https://www.alibaba.com/product-detail/Factory-Price-75mm-Cold-Room-Cold_1600327092699.html,2025-02-19 15:12:52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Warehouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Return and Replacement",N/A,N/A,N/A,N/A,N/A,N/A,YX950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000 kg,N/A,N/A,1-11.8m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ZhuAi,N/A,N/A,N/A,N/A,N/A,0.3mm~0.8mm,Thermal Insulation,N/A,"1.In bulk
2.Pallet",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 years,N/A,N/A,N/A,PU Board,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PPGI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30X30X10 cm,N/A,N/A,N/A,N/A,40-120kg/m3,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CE/BV,Industrial,N/A,N/A,N/A,N/A,950mm/1150mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/150/200mm,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Frp-Xps-Sandwich-Panel-Sandwich-Panels_1601288647744.html?s=p,2025-02-19 15:13:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EPS Sandwich Panel,N/A,N/A,N/A,factory,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Training, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WEIHUA,N/A,Polystyrene Foam EPS Sandwich Panel,N/A,N/A,N/A,N/A,"Lightweight,waterproof",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 years,N/A,N/A,N/A,Hard Polyurethane Foam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sandwich Panel Movable Wall,N/A,XX cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RAL Color,"Liaoning, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Others",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,plant,Sound-absorbing Decoration Wall,N/A,N/A,N/A,N/A,N/A,N/A,Construction Insulation,N/A,N/A,N/A,N/A,N/A,Metal+pu Foam+Aluminum Foil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50-200mm,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Condibe-Cheap-Storage-Cold-Room-Panel_1600840283598.html,2025-02-19 15:13:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Warehouse/Cold room/Clean Room/Outdoor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts",N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,With pallet or load in the container to ship,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.200 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CONDIBE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Availale,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A,3~7 days,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3-0.6mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,polyurethane composite plate,N/A,14X6X6 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,stainless steel/gal steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,polyurethane,N/A,N/A,N/A,N/A,N/A,silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50mm/75mm/100mm/150mm,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/High-Quality-Building-Material-Moisture-Resistance_1601202029585.html?s=p,2025-02-19 15:13:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Low temperature system, low-temperature equipment cold insulation",N/A,N/A,N/A,N/A,N/A,N/A,Office Building,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,shishang,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Return and Replacement",N/A,N/A,N/A,N/A,N/A,Foam glass plate Tube,/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,shishang,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120kg-160kg/m³,N/A,N/A,N/A,N/A,N/A,N/A,N/A,More than 5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.025-0.049 watts/(milligrams),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Insulation materials,N/A,N/A,zhongguo hebei,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Hebei, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, total solution for projects, Cross Categories Consolidation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,-268-482°Celsius,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,"Low thermal conductivity, non absorbent, non combustible",N/A,N/A,N/A,Greater than 18mm,N/A,N/A,Rubber foam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50cm/60cm,N/A,N/A
PU Panel Cold Storage Room Insulated Cam Lock Sandwich Panel for Cold Room,https://www.alibaba.com/product-detail/PU-Panel-Cold-Storage-Room-Insulated_1601378688813.html,2025-02-19 15:14:11,N/A,N/A,N/A,N/A,N/A,"PRESSURE VESSEL, MOTOR",N/A,N/A,"double-sided color steel, stainless steel, embossed aluminum",N/A,N/A,N/A,N/A,N/A,N/A,customizable,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,120.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.426mm,0.5mm, 0.6mm, 0.8mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,Easy to Operate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customzied Size,N/A,N/A,N/A,"Building Material Shops, Food & Beverage Factory, Restaurant, Retail,",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220v-380v,60X50X40 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,Unavailable,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42KG/cubic metre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other
