Product Title,Product URL,Date Scraped,cold room Functions,Tem. range,Door Size,Effective Width,Specification:,cold room Refrigerant,Temperature range,Condition,Panel Connection,Brand,temperature Range,After Warranty Service,Service Door,size range,Panel Material,Thickness of Color Steel,Usage of cold room,Structure,Packaging Details,Floor of Blast Freezer Room,Cooling system,OEM/ODM,After-sales Service,Communication Port,Max. wind speed,Orientation,model number,Warranty of core components,Operate Temperature,key selling points,Place of Origin,core components,Product name:,Compressive Strength,Feature,Function,Cell size,Selling Units:,Thickness,Supply Ability,Cooling way,Applicable Industries,Name,Panel,Power (W),machinery test report,Foaming material,Type of door,cold room Color,Showroom Location,Usage:,Fireproof Grade,Insulation Material,Panel material,Model Number,Raw Material,Marketing Type,Voltage (V),Width,cold room Type,Panel Dimensions,Battery cell,Snow Load,Surface,size,Shape,Foundation,Pu Panel,Glass,voltage,Package,Fireproof,evaporator,Steel Material,Thinckness,video outgoing-inspection,Dimension (L*W*H),Fish Cold Storage Door,warranty,Controller Type,Single package size:,Cable,Water Absorption Rate,Battery Box,Solar Panel,Color,OEM,Length,Single gross weight:,Cooling way:,Solar panel,Project Solution Capability,Load Power (W),System Type:,Type,cold room Name,Thickness of panel,Battery Type,Surface Material,Weight,Junction Box,Mounting Type,Nominal Capacity,Door type,Output Frequency,place of origin,Battery stype,Keywords,Output Voltage (V),Refrigerant,Density,Dimension(L*W*H),door type,Compressor,Use,Fire resistance,Standard air cooler,Cell Type,Application,Wall,Semi buried door,compressor brand,Solar panel:,OEM Order,Connector,Metal Sheet Thickness,Smart Power box,Design Style,Condensing Unit,Advantage,Inverter:,Battery:,Solar Panel Type,Brand Name,Panel thickness,Dimensions (L x W x H (Inches),Video outgoing-inspection,Application of Industry,Core material,feature,Condenser Type,brand name,cooling capacity,Frame,Free installation service,Key Selling Points,Functions,cold room Certification,Cooling,Protection Class,Grid connection,Output cable,Weight (KG),Corner,Size,Transport and load,PU Core Density,Certification,mounting structure:,Voltage,Compressor brand,Certificates,Inside material,color,dimension(l*w*h),product,temperature,Surface material,Pre-sales project design,Refrigeration Type,Sample,Panel Efficiency,Thermal Conductivity,Product Type,Refrigerant:,Filling material,Flame retardancy,After-sale Service,After Warranty Service:,Polyurethane,System,panel thickness,power,Certificate,Edge Treatment,Certification:,Design,Insulation material,Batteries,Logo,Specification,Cold room panel,Product name,Accessories:,Cycle life,Blast Freezer Room Doors,Usage,Port,After-sales Service Provided,Work Time (h),cold room Thickness of panel,Keyword:,Temp controller,Nominal Voltage,Material,Keyword,Doors,Outside material,Solar cell,Warranty,Cold room doors,Wind Load
N/A,https://www.alibaba.com/product-detail/Xiamen-Jialiang-Solar-Powered-Cold-Room_1600816493922.html,2025-02-19 17:15:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Productivity,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Pump, Engine, Other",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,Air Cooled System,N/A,N/A,PU Camlock Panel,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220V~460V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,35X55X50 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.000 kg,N/A,N/A,N/A,N/A,N/A,Customer-made,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fujian, China",N/A,N/A,N/A,R404A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,"TECUMSEH, Copeland, Bristol, Performer, Bitzer, Daikin, hitachi, Other, Maneurop, Sanyo, Xiamen Jialiang",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Life,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Solar,N/A,Xiamen Jialiang,10ton,N/A,N/A,N/A,Frozen Storage Fresh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customize,N/A,-45℃ ~ +20℃,N/A,N/A,N/A,N/A,N/A,N/A,Xiamen Jialiang Solar Powered Walk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, 50MM, 150mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color Steel,N/A,Swing Door,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Walk-In-Cold-Room-for-Meat_1601104018212.html?s=p,2025-02-19 17:15:48,N/A,"-5~+5, -5~-18, <=-18 °C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cryo Systems,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy saving,N/A,"Pressure vessel, motor, Pump, Engine",N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pu (polyurethane),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V/3P/50Hz or 220V/1P/50Hz,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,XX cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,R404A,N/A,N/A,N/A,N/A,N/A,N/A,From one fan to four fans,N/A,N/A,N/A,N/A,Original world famous compressors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"75, 100, 120, 150mm",N/A,N/A,N/A,N/A,Good Cooling Capacity,N/A,CRYO SYSTEMS,2.5ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Original world famous compressors,N/A,N/A,N/A,Up to you,N/A,"-5~+5, -5~-18, <=-18 °C",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, 50MM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Meat, Food, Sea Food, Fish, etc",N/A,N/A,N/A,N/A,N/A,Dixell,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Returen door, Hinged door, Sliding door, etc",N/A
N/A,https://www.alibaba.com/product-detail/40ft-Solar-Energy-Powered-Panels-Systems_1600142514014.html,2025-02-19 17:16:02,N/A,N/A,N/A,N/A,Customized as your required,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,Solar Energy System,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Application Outdoor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MPPT,220X60X30 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.000 kg,N/A,N/A,N/A,"30kw, 20kw, 10KW",Off-grid Solar Power Generation,N/A,N/A,N/A,"Lead-Acid, Lithium Ion",N/A,N/A,N/A,"Roof Mounting,BIPV Mounting",N/A,N/A,60hz,N/A,N/A,N/A,"220,240",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Industrial,Commercial",N/A,N/A,N/A,Monocrystalline Solar Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pure Sine Wave Hybrid On/Off Grid Inverter,Lead Acid/LiFePO4 Lithium Battery,Monocrystalline Silicon,xc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized for roof/ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"pv cable ,Crimping pliers etc",N/A,N/A,N/A,N/A,N/A,24,N/A,Photovoltaic Solar Energy System,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/One-Stop-Mobile-Mini-Cold-Room_1601370019078.html?s=p,2025-02-19 17:16:14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,XFLK-A34,N/A,N/A,Long Service Life,N/A,"Cold Room Panel, Cold Room Door, Condensing Unit, Evaporator/Unit Cooler, Contro Box, Expansion Valve",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"220V/1Ph/50Hz, 380V/3Ph/50Hz etc",N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,3 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Copeland, Performer, Bitzer, Sanyo, DORIN, Fusheng",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,xiangfeng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,> 1000W,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-8 Degree 3-Phase 220V 50Hz 60Hz Solar Panel Powder Built-in Battery Deep Freezer Walk-in Cold Storage Room Construction,https://www.alibaba.com/product-detail/2-8-Degree-3-Phase-220V_1601011795166.html,2025-02-19 17:16:25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 years,N/A,N/A,N/A,Engine,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,Other,N/A,N/A,N/A,Provided,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,XX cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Accept Customers' Logo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Cold-Room-Panels-Supplier-for-Vegetables_1601253689308.html?s=p,2025-02-19 17:16:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.426/0.5/0.6/0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BP-088,N/A,N/A,Competitive Price,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Pump, Engine, Other",N/A,N/A,Insulation,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220 /380 /400V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,590X122X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.100 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sliding / Swing / Hinged Door,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100/150/200 mm,N/A,N/A,N/A,N/A,Container,N/A,BEIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane or rock wool,N/A,2.4*2.4*2.4 m / customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10W,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room pu sandwich panel,N/A,N/A,N/A,cold room / cold storage,N/A,Overseas service center available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color steel or stainless steel,N/A,one year,N/A,N/A
Fireproof Solar PU Cold Storage Room Panel for Fruit Vegetables Meat and Seafood,https://www.alibaba.com/product-detail/Fireproof-Solar-PU-Cold-Storage-Room_1600708310202.html,2025-02-19 17:16:53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Commercial container cold room equipment manufatures
Plastic packaged",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High-accuracy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,300 Meter/Meters per   Week,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized,N/A,N/A,N/A,N/A,220V/380V,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,1X0.1X0.02 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,As per your requirements,"hinged door, sliding door, standard return door",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"TECUMSEH, Copeland, Other, Sanyo, Emerson",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room,N/A,HUGECOOL,Other,N/A,N/A,N/A,"Fresh-keep, freezing, quick-freezing, fire-proof, explosion-proof,",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized,N/A,-45C to 20C,color steel or stainless steel or aluminum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50mm 80mm 100mm 120mm 150mm 180mm 200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qingdao or Shanghai,Engineers available to service machinery overseas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 year,N/A,N/A
N/A,https://www.alibaba.com/product-detail/5-Ton-Blast-Freezer-Walk-In_545054340.html?s=p,2025-02-19 17:17:09,N/A,N/A,0.8*1.8m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Field installation, commissioning and training",N/A,N/A,N/A,C095,N/A,N/A,Energy saving,N/A,Other,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trending Product,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220/50Hz  220V/60Hz,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,common,N/A,SHINELONG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220/50Hz  220V/60Hz,N/A,N/A,N/A,N/A,Customized Size,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Engineers available to service machinery overseas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Monoblock-Mobile-Application-Solar-Panel-Powered_1601289236992.html,2025-02-19 17:17:22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Easy to Operate,N/A,MOTOR,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,3 years,N/A,40X30X20 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,Coldroom Cold Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,"Other, Bitzer",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOLAR,N/A,BINGKE,N/A,N/A,N/A,Highly Accurate,Refrigerated Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,custom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Cold Storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Monoblock Mobile Solar panel powered color steel PU Panel Cold storage,N/A,N/A,N/A,Cold Cold Storage Plant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Walk-In-Cooler-Panels-Insulated-Sandwich_1600668134600.html?s=p,2025-02-19 17:17:39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,new,N/A,N/A,N/A,N/A,N/A,N/A,metal,N/A,N/A,N/A,Plastic packaged for Walk in Cooler Panels Insulated Sandwich Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,1000 Square Meter/Square Meters per   Week cold room panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,pu panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000X1000X20 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.000 kg,N/A,N/A,"graphic design, 3D model design",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,As per your requirements,"hinged door, sliding door, standard return door",N/A,N/A,N/A,N/A,N/A,supermarket,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial,N/A,N/A,N/A,N/A,N/A,HUGECOOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Fresh-keep, freezing, quick-freezing, fire-proof, explosion-proof,",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-45C to 20C,color steel or stainless steel or aluminum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Return and Replacement",N/A,N/A,N/A,50mm 75mm 100mm 120mm 150mm 180mm 200mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Walk in Cooler Panels Insulated Sandwich Panels,N/A,N/A,N/A,N/A,shanghai port for Walk in Cooler Panels Insulated Sandwich Panels,Engineers available to service machinery overseas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A
N/A,https://www.alibaba.com/product-detail/New-Design-Containerized-Solar-Powered-Containerized_62255527916.html,2025-02-19 17:17:56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wood crate and safely fixed while loading all items in container,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Automatic,N/A,"PLC, compressor",N/A,N/A,N/A,N/A,N/A,Single item,N/A,100 Set/Sets per   Year,Evaporative Cooling,N/A,New Design Containerized Solar Powered Containerized Cold Room,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V/3P/50Hz,N/A,N/A,air fan or aluminum pipe,N/A,N/A,Provided,N/A,N/A,15months,N/A,1219X243X289 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China","Lead-Acid, Lithium Ion",N/A,N/A,R-22 R-404A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized Size,N/A,Customize,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100MM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,goods storage,shanghai port,Engineers available to service machinery overseas,N/A,N/A,N/A,N/A,N/A,"304 stainless steel, or galvanized steel",N/A,N/A,N/A,N/A,15months,N/A,N/A
