Product Title,Product URL,Date Scraped,Compressor brand,core components,type,application,Floor Heating Valve,Product name,pressure balance,Orifce type,Condition,dimension(l*w*h),Marketing Type,Capillary tube length,Model,Application,Connection size,After Warranty Service,Power supply,structure,Max. Working Pressure,Pressure environment,Superheat,Refrigerants,After-sale Service,work pressure,power(w),Product Name,Certification,Model Number,Product name:,Package,Capillary,Standard,Valve type,OEM,Single gross weight:,after-sales service provided,Port,brand name,Connection,Brand Name,Keyword,Supply Ability,Feature,Advantage,Packaging Details,media,Max. working pressure (PS),valve core capacity [TR],Warranty,key selling points,Working Temperature,Temperature,Pressure,Description,Power,Pressure  equaliser,PAYMENT,Local Service Location,Size,Direction,temperature of media,Temperature range [° C],Type,refrigerant,voltage,Single package size:,Voltage,model number,Color,Place of Origin,Shape,Brand,weight (kg),power,SHIPPING WAY,Loop,Temperature range [Min],Selling Units:,Drive method,Outlet size [in],warranty,Packing,Communication interface,video outgoing-inspection,Connection End,Project Solution Capability,Key Words,power source,Equalization connection type,Operating temperature,Design Style,Function,Length*width*height,customized support,Ambient temperature,place of origin,valve core capacity [kW],MOQ,Payment,Inlet size [in],Usage,Body material,Cooling Type,Material,Refrigerant,Max. Working Pressure [bar],Equalisation,Flow direction,Compressor type,Use for,Pressure equalization,machinery test report,Surface,Weight (KG),Name,Refrigerant gas,Temperature range [Max],Connection form,Applicable Industries,compressor brand,Outlet connection type
Emerson Cold Storage Thermostatic Expansion Valves for Refrigeration BAE 3MC,https://www.alibaba.com/product-detail/Emerson-Cold-Storage-Thermostatic-Expansion-Valves_1601279941202.html?selectedCarrierCode=SEMI_MANAGED_ECONOMIC@@ECONOMY,2025-02-19 16:07:03,N/A,N/A,Valve,Refrigeration Parts,N/A,Thermal Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,Customer's Drawing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Welcomed,1.100 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20X15X11 cm,N/A,N/A,N/A,N/A,N/A,N/A,1.5,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Carton Packaging,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Beijing, China",N/A,1 PC,N/A,N/A,Refrigeartion Parts,N/A,N/A,N/A,R134a/R404a/R410a/R290a/R600a,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEX Brass Valve Hydronic Underfloor Manifold for House Heating,https://www.alibaba.com/product-detail/PEX-Brass-Valve-Hydronic-Underfloor-Manifold_1600616175786.html?s=p,2025-02-19 16:07:16,N/A,N/A,N/A,N/A,House heating manifold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Apartment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Return and Replacement",N/A,N/A,N/A,N/A,HB-08322,N/A,N/A,N/A,ISO 228,N/A,N/A,3.000 kg,N/A,NINGBO,N/A,N/A,Huibo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,-10 Degree to 110 Degree,16 Bar,N/A,N/A,N/A,N/A,N/A,1'',N/A,N/A,N/A,Floor Heating Systems,N/A,N/A,30X15X10 cm,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,2-13loops,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,Thread,3D model design,Brass Manifold Valve Factory,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Forged brass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,polishing surface,N/A,Brass manifold with flow meter,N/A,N/A,N/A,N/A,N/A,N/A
R22 R404a Cold Room Refrigeration Thermal Expansion Valve,https://www.alibaba.com/product-detail/R22-R404a-Cold-Room-Refrigeration-Thermal_1600507185520.html,2025-02-19 16:07:30,N/A,N/A,Valve,Refrigeration Parts,N/A,Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,Customized,Cold Storage Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000 kg,N/A,N/A,YC,N/A,Danfoss,N/A,N/A,N/A,N/A,Color box,N/A,N/A,N/A,N/A,N/A,-40℃~+50℃,N/A,N/A,N/A,Hydraulic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10X10X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Carton Box,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,1pcs,N/A,N/A,N/A,N/A,N/A,Brass,"R22, R404a,R507,R407C",N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Steam-Coils-Refrigeration-Heat-Exchange-Parts_1601291073416.html?s=p,2025-02-19 16:07:40,N/A,N/A,Evaporator,Refrigeration Parts,N/A,Air Cooled Evaporator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commercial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Beifeng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,"Show Case,Ice Maker,vending machine,Ice Cream Machine,Refrigerator",N/A,N/A,Aluminum Fin + Aluminum Tube,"R404A,R448A,R449A,R507,R290,CO2,R22,R134A",N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Large-Supply-Cold-Room-Storage-Expansion_1601191602628.html,2025-02-19 16:07:52,N/A,N/A,Valve,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Expansion Valve,N/A,N/A,N/A,N/A,N/A,2.000 kg,N/A,N/A,Jery,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12X12X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Air Conditioning Cold Storage Refrigerationing Manual Valve Ccrew Solder Copper Pipe Straight Fittings Diaphragm Split Valve,https://www.alibaba.com/product-detail/Air-Conditioning-Cold-Storage-Refrigerationing-Manual_1601053152339.html,2025-02-19 16:08:03,N/A,N/A,Other Valves,General,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Diaphragm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Low Temperature,N/A,N/A,N/A,N/A,10X10X10 cm,N/A,3/8,N/A,N/A,N/A,N/A,N/A,Manual,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"OEM, ODM",N/A,"Anhui, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Automatic Thermostatic Expansion Valves Thermal Electronic Expansion Valve,https://www.alibaba.com/product-detail/Cold-Storage-Automatic-Thermostatic-Expansion-Valves_1600450603687.html,2025-02-19 16:08:16,N/A,N/A,expansion valve,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TGES18 067N6161,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Original Cold Storage Refrigeration Part Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Standard packing for exporting only,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Expansion valve,N/A,N/A,10X10X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,1 PC,N/A,N/A,N/A,N/A,N/A,Brass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,R404A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/High-Quality-T2-Valve-Core-Original_1600449651884.html,2025-02-19 16:08:27,N/A,N/A,expansion valve,N/A,N/A,Expansion Valve,N/A,N/A,N/A,N/A,Ordinary Product,N/A,0~6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10X10X10 cm,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,1pcs,N/A,N/A,N/A,N/A,N/A,Brass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,R404A,N/A,N/A,N/A,N/A,N/A
Wholesale Prices Freezer Cold Room Storage Copeland Compressor Refrigeration Condensing Units for Cold Room,https://www.alibaba.com/product-detail/Wholesale-Prices-Freezer-Cold-Room-Storage_1601322778910.html?s=p,2025-02-19 16:08:36,N/A,N/A,N/A,N/A,N/A,Air Cooled Refrigeration Condensing Unit,N/A,N/A,N/A,950x420x870mm,N/A,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2-4HP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sustainable, High-accuracy, Easy to Operate, Competitive Price, High Productivity, Remote Monitoring, Long Service Life, Remote Control, Low Maintenance Cost, Accurate temperature control",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R404A,R507A,R22,R134A,R448A,R449A","220-240V/1/50HZ-60HZ,380-420V/3/50-60HZ",N/A,N/A,BF-CUA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Zhejiang, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R404A,R507A,R448A,R449A,R22,R134A",N/A,N/A,N/A,Hermetic Scroll,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Danfoss,Copeland,Invotech",N/A
Original Factory Cold Storage Expansion Valve R404a R507 Series XC-0726MW55-2B Emerson for Refrigeration Unit,https://www.alibaba.com/product-detail/Original-Factory-Cold-Storage-Expansion-Valve_1601353939191.html,2025-02-19 16:08:46,N/A,N/A,Valve,Refrigeration Parts,N/A,Thermal Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,XC-0726MW55-2B and the series,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Zhongsheng,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Emerson,2.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Beijing, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/Expansion-Valve-TIE-HW-With-Spool_1600362546264.html,2025-02-19 16:09:01,N/A,N/A,expansion valve,General,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Guangzhou,EMERSON,N/A,N/A,N/A,1000 Unit/Units per   Week,N/A,N/A,"carton,wooden package",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TIE-HW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Avalible,N/A,USA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Supply Cold Storage Expansion Valve R22 R404a R407c Air Conditioning TE5-TE55 Series Refrigeration Thermostatic Expansion Valve,https://www.alibaba.com/product-detail/Supply-Cold-Storage-Expansion-Valve-R22_1601213851901.html,2025-02-19 16:09:17,N/A,N/A,Valve,Refrigeration Parts,N/A,Thermostatic Expansion Valve,N/A,Exchangeable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Adjustable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.000 kg,N/A,N/A,Danfoss,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28 bar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TE 5 - TE 55 series,N/A,N/A,40X40X30 cm,N/A,N/A,N/A,N/A,N/A,N/A,0.7,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R134a/R513A, R448A/R449A,R452A,R407C, R404A,R1234yf R454C",N/A,External,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025 China Factory Supplies Cold Storage Refrigeration Unit Emerson Copeland Integrated Cold Storage Unit,https://www.alibaba.com/product-detail/2025-China-Factory-Supplies-Cold-Storage_1601375031175.html?s=p,2025-02-19 16:09:34,Emerson,"Pressure vessel, motor",N/A,N/A,N/A,Air Cooled Refrigeration Condensing Unit,N/A,N/A,N/A,240X100X110,N/A,N/A,N/A,Cold Storage Room Freezer Room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sustainable, Automatic, High-accuracy",N/A,-45~15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High Temperature,N/A,"220V, 380V",N/A,380V,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shandong, China",N/A,N/A,N/A,N/A,Refrigerant Cold Room,N/A,Air Coolded Condenser,N/A,R404a/R134a/R507a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,350,N/A,N/A,N/A,N/A,N/A,Bitzer,N/A
Low Price Expansion Valve Spool Thermal Expansion Valve for Cold Storage and Freezing Applications,https://www.alibaba.com/product-detail/Low-Price-Expansion-Valve-Spool-Thermal_1600471605404.html,2025-02-19 16:09:46,N/A,N/A,Expansion valve,Refrigeration Parts,N/A,Expansion valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gas 4.5Mpa;Liquid 6.8Mpa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000 kg,N/A,N/A,Danfoss,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-50~140°C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15X10X10 cm,N/A,N/A,golden,N/A,Irregular shape,N/A,1,N/A,N/A,N/A,N/A,Single item,N/A,N/A,"1 Year, 1 Year Guarantee",N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10X10X10 cm,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Copper, aluminum, iron",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emerson SPORLAN Thermostatic Expansion Valves for Commercial Cold Storage Systems Refrigerator Freezers,https://www.alibaba.com/product-detail/Emerson-SPORLAN-Thermostatic-Expansion-Valves-for_1601362731746.html,2025-02-19 16:09:59,N/A,N/A,Valve,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220-240  380-420/Y3/50 440-480/Y3/60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,LTZL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Control Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,380V-440V/3Ph/50HZ-60HZ,N/A,N/A,N/A,N/A,N/A,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Universal AC Control System,N/A,N/A,N/A,"Guangdong, China",N/A,N/A,N/A,N/A,Industry Automation,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BRfilter  Supply Cold Storage Expansion Valve R22 R404a R407C Expansion Valve,https://www.alibaba.com/product-detail/BRfilter-Supply-Cold-Storage-Expansion-Valve_1601175199922.html,2025-02-19 16:10:09,N/A,N/A,Refrigeration Compressor,Refrigeration Parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.000 kg,N/A,N/A,BR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10X10X20 cm,N/A,N/A,N/A,N/A,N/A,BR,1,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/New-Products-Supply-Cold-Storage-Expansion_1601100970167.html,2025-02-19 16:10:21,N/A,N/A,Safety Relief Valves,General,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Valves,N/A,N/A,N/A,N/A,Safety,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.560 kg,N/A,N/A,coolway,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Normal Temperature,N/A,N/A,N/A,N/A,10X5X6 cm,N/A,Valves,N/A,N/A,N/A,N/A,N/A,Electric,N/A,N/A,N/A,Single item,N/A,N/A,3 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"OEM, ODM",N/A,"Zhejiang, China",N/A,100PCS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Ball Valve with Threaded Connection for Cold Storage Refrigeration Systems Compatible with R134A & R404A,https://www.alibaba.com/product-detail/New-Ball-Valve-with-Threaded-Connection_1600762657153.html,2025-02-19 16:10:36,N/A,N/A,Valve,N/A,N/A,Ball Valve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ball Valve,N/A,3.000 kg,N/A,N/A,N/A,Welding Straight-through,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-50°C~+150°C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BALL VALVES,N/A,N/A,4X13X19 cm,N/A,N/A,Brass,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,5PCS,N/A,N/A,N/A,Steel,N/A,N/A,R717/R404A/R507,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/068Z3212-R502-Electronic-Expansion-Valve-Cold_1601294432050.html,2025-02-19 16:10:45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New,N/A,N/A,N/A,N/A,Automation Industrial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100% Original Package,N/A,N/A,N/A,N/A,0.500 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12Months,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PLC EtherCAT Coupler Module,N/A,N/A,12X8X5 cm,N/A,N/A,N/A,America,N/A,N/A,N/A,N/A,DHL FEDEX UPS EMS TNT,N/A,N/A,Single item,N/A,N/A,N/A,N/A,Modubus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Piece,TT\Paypal\Western Union,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Original New Refrigeration Electric Expansion Valve AKV 10P6 068F5216 AKV 10P2 068F5212 AKV 10P5 068F5215 for Cold Storage,https://www.alibaba.com/product-detail/Original-New-Refrigeration-Electric-Expansion-Valve_1601194647085.html,2025-02-19 16:10:55,N/A,N/A,Refrigeration Parts,Air Refrigeration Parts,N/A,Electric Expansion Valve,N/A,N/A,N/A,N/A,N/A,N/A,AKV 10P6 068F5216 AKV 10P2 068F5212 AKV 10P5 068F5215,N/A,N/A,Online Service,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.000 kg,N/A,N/A,OEM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Angleway,N/A,N/A,N/A,N/A,N/A,20X20X15 cm,N/A,N/A,N/A,N/A,N/A,N/A,0.5,N/A,N/A,N/A,N/A,Single item,N/A,1/2 in,1 Year,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-50 - 50 °C,"Zhejiang, China",N/A,N/A,N/A,3/8 in,N/A,N/A,N/A,N/A,N/A,90 bar,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Solder, ODF"
